ticker,market_cap,sector,pe_ratio,pb_ratio,roe,debt_to_equity,avg_volume,current_price,ipo_date,momentum_12m,value_score,quality_score,momentum_score,composite_score,volatility,inv_vol,inv_vol_weight,score_adjusted,raw_weight,weight
GOOGL,3765191311360.0,Communication Services,28.819445,9.060344,35.705003000000005,16.133,37797414.0,311.25,,0.638911690025547,34.523809523809526,85.71428571428572,90.47619047619048,74.82142857142858,0.307504111676825,3.251989036982249,0.043622592332797076,8.649938067490922,0.37733272202209905,0.06036989584621815
GOOG,3768941543424.0,Communication Services,28.848148,9.069367,35.705003000000005,16.133,24207929.0,311.56,,0.6292544024807201,32.14285714285714,85.71428571428572,88.09523809523809,73.27380952380952,0.3008960040178571,3.3234073787854412,0.04458060700447508,8.560012238531527,0.38161054155947105,0.06105430911028948
MU,453546475520.0,Technology,38.268757,7.7158885,22.554001,21.244,32144988.0,402.97,,1.7244043746685278,26.19047619047619,70.23809523809524,100.0,71.13095238095238,0.6680132882307412,1.4969762093334076,0.020080628245981256,8.433916787646911,0.16935834767027808,0.05053983497677837
NVDA,4672433160192.0,Technology,47.620346,39.229355,107.35900000000001,9.102,180745911.0,191.91,,0.31347492021506507,8.333333333333332,97.61904761904762,83.33333333333334,69.58333333333334,0.37875135699297574,2.640254566846465,0.035416708763332076,8.341662504161466,0.29543423151189396,0.05053983497677837
CVE,41083211776.0,Energy,17.014532,1.8433397,10.836001000000001,35.324,11788614.0,21.7786,,0.24580458373559347,80.95238095238095,45.23809523809524,78.57142857142857,67.5,0.2895635016730073,3.453473915815746,0.046325335986180625,8.215838362577491,0.38060147255455434,0.05408478414758895
LRCX,296592637952.0,Technology,48.48768,29.120111,65.565,44.195,12095603.0,236.135,,1.1246703818236954,8.333333333333332,76.19047619047619,95.23809523809523,66.84523809523809,0.5009693443567614,1.9961301250558312,0.026776342016617036,8.1758937184407,0.218920526496479,0.05053983497677837
MSFT,2996363067392.0,Technology,25.212633,7.6622634,34.390998,31.539,30442186.0,403.15,,0.13889990931356797,47.61904761904762,76.19047619047619,64.28571428571429,64.28571428571429,0.18855137005660744,5.303594451208586,0.07114308689621196,8.017837257372731,0.570413692720954,0.09496971033085766
XOM,656992174080.0,Energy,23.25224,2.5099485,11.0810004,16.329,17930229.0,155.79,,0.13552289418810357,69.04761904761905,57.142857142857146,61.904761904761905,62.02380952380952,0.1752304219922085,5.706771624646685,0.07655135650437166,7.8755196351611945,0.6028817112484036,0.08567157399719519
T,200914993152.0,Communication Services,9.322369,1.8044059,18.805,124.179,42038086.0,28.34,,0.1787094107837619,90.47619047619047,32.14285714285714,66.66666666666666,60.53571428571428,0.17760096191759092,5.630600134159254,0.07552958249494934,7.780470055575966,0.587655654912108,0.09401970359307278
NFLX,337675616256.0,Communication Services,31.464428,12.627697,42.762001999999995,63.782,46624816.0,79.615,,0.2024681896985895,26.19047619047619,64.28571428571428,73.80952380952381,58.57142857142857,0.3573860609534668,2.798094579660185,0.0375339946626615,7.653197277702214,0.28725506577357046,0.04856625394429093
PR,12801511424.0,Energy,15.343749,1.2753246,8.988999999999999,32.867,10549781.0,17.185,,0.08829142561504343,91.66666666666666,45.23809523809524,45.23809523809524,56.8452380952381,0.31916463489220764,3.133179214350402,0.042028862342055634,7.5395781112233395,0.3168798905537816,0.04502972720069105
KO,339796066304.0,Consumer Defensive,25.97204,10.558305,43.323,132.726,17746255.0,78.955,,0.18611304084414917,39.285714285714285,51.19047619047619,69.04761904761905,55.357142857142854,0.1680216117178548,5.951615329575696,0.07983572093607998,7.44023809142845,0.593996771965274,0.09889612064169566
CVX,370960039936.0,Energy,27.984915,1.9540398,7.16,21.239,10541803.0,185.54,,0.10841163856164154,65.47619047619048,46.42857142857143,52.38095238095239,53.57142857142858,0.17610693522236756,5.678368082082146,0.0761703477912396,7.319250547113999,0.557509859744894,0.07922407714839613
MRK,296137195520.0,Healthcare,16.285713,5.687695,37.166,79.708,14809770.0,118.56,,0.05078050158955555,66.66666666666667,55.95238095238095,40.476190476190474,52.44047619047619,0.27115516636181264,3.687925306448567,0.049470296599247024,7.241579675076164,0.3582430943730967,0.059644856592330715
WMT,1034158604288.0,Consumer Defensive,45.35315,10.760744,23.660999999999998,66.747,30205218.0,129.71,,0.22592746932370858,16.666666666666664,50.0,76.19047619047619,52.14285714285714,0.24124422809580415,4.145176893529137,0.05560392723265468,7.221001117771492,0.40151602069948417,0.0668494825170383
